trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.98, 'e': 0.20270290824698026}",25,8,-35.743974754358305,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.98, 'e': 0.19864885008204064}",20,2,27.68008262589901,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.98, 'e': 0.19467587308039982}",20,0,31.1165648557401,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.98, 'e': 0.19078235561879184}",20,1,3.152380229247506,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.98, 'e': 0.186966708506416}",20,0,-40.78482670602801,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
84,False,"{'a': 0.98, 'e': 0.18322737433628766}",20,4,28.24403565512533,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.98, 'e': 0.1795628268495619}",20,14,10.782438307775816,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.98, 'e': 0.17597157031257066}",30,18,-9.486154213934533,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.98, 'e': 0.17245213890631925}",30,10,29.800890996707363,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.98, 'e': 0.16900309612819286}",30,10,-18.173863397745958,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",1
89,False,"{'a': 0.98, 'e': 0.16562303420562902}",35,12,-36.354580655614576,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
90,False,"{'a': 0.98, 'e': 0.16231057352151643}",20,10,12.546239935356283,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.98, 'e': 0.1590643620510861}",35,13,7.724321746286865,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.98, 'e': 0.15588307481006436}",20,6,-28.363317656131603,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.98, 'e': 0.15276541331386306}",30,8,-0.8643659560163466,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.98, 'e': 0.1497101050475858}",20,12,7.834520581562915,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.98, 'e': 0.14671590294663409}",20,13,2.5722200682972676,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.98, 'e': 0.1437815848877014}",20,11,0.6906044065730479,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.98, 'e': 0.1409059531899474}",20,8,-10.242915536905448,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.98, 'e': 0.13808783412614842}",20,12,-5.997100814532092,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.98, 'e': 0.13532607744362546}",25,0,-1.7246286493330363,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.98, 'e': 0.13261955589475294}",25,13,16.480304205858687,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.98, 'e': 0.12996716477685788}",20,0,-49.002312016072956,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
102,False,"{'a': 0.98, 'e': 0.12736782148132073}",20,14,0.8663882402193839,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.98, 'e': 0.12482046505169431}",25,6,34.338342929583376,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.98, 'e': 0.12232405575066042}",30,11,34.63013399321575,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.98, 'e': 0.11987757463564722}",30,11,29.916992120415706,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.98, 'e': 0.11748002314293426}",30,15,-21.984521878645484,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.98, 'e': 0.11513042268007558}",25,15,15.901649823960987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.98, 'e': 0.11282781422647406}",20,13,12.045240904735564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.98, 'e': 0.11057125794194458}",20,1,21.916726206676334,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.98, 'e': 0.10835983278310568}",20,0,18.955133687215966,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.98, 'e': 0.10619263612744358}",25,12,12.582007006130384,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.98, 'e': 0.1040687834048947}",20,10,15.527461277125548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.98, 'e': 0.1019874077367968}",20,8,22.792075361850127,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.98, 'e': 0.09994765958206087}",25,6,32.73457037733315,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.98, 'e': 0.09794870639041964}",35,23,22.375134400361883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.98, 'e': 0.09598973226261125}",25,2,23.86719741941524,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.98, 'e': 0.09406993761735903}",20,0,19.843136586037794,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.98, 'e': 0.09218853886501184}",25,8,13.5777159344468,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.98, 'e': 0.09034476808771161}",30,19,21.91047410098574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.98, 'e': 0.08853787272595737}",25,0,36.58750550506011,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
